"Date","Student","Site","Location","Plot","Species","Cover"
"2024-5-27",1,"A_grassland",1,1,"Achillea_millefolium",5
"2024-5-27",1,"A_grassland",1,1,"Cerastium_holosteoides",5
"2024-5-27",1,"A_grassland",1,1,"Crepis_biennis",10
"2024-5-27",1,"A_grassland",1,1,"Galium_mollugo",2
"2024-5-27",1,"A_grassland",1,1,"Grasses",50
"2024-5-27",1,"A_grassland",1,1,"Hypochaeris_radicata",7
"2024-5-27",1,"A_grassland",1,1,"Jocabaea_vulgaris",3
"2024-5-27",1,"A_grassland",1,1,"Leucanthemum_vulgare",40
"2024-5-27",1,"A_grassland",1,1,"Lotus_corniculatus",20
"2024-5-27",1,"A_grassland",1,1,"Mosses",40
"2024-5-27",1,"A_grassland",1,1,"Onobrychis_viciifolia",5
"2024-5-27",1,"A_grassland",1,1,"Rhinanthus_angustifolius",1
"2024-5-27",1,"A_grassland",1,1,"Rumex_acetosa",12
"2024-5-27",1,"A_grassland",1,1,"Sanguisorba_minor",40
"2024-5-27",1,"A_grassland",1,1,"Taraxacum_sp",30
"2024-5-27",1,"A_grassland",1,1,"Trifolium_dubium",10
"2024-5-27",1,"A_grassland",1,1,"Trifolium_pratense",15
"2024-5-27",1,"A_grassland",1,2,"Acer_pseudoplatanus",1
"2024-5-27",1,"A_grassland",1,2,"Achillea_millefolium",15
"2024-5-27",1,"A_grassland",1,2,"Arenaria_serpyllifolia",20
"2024-5-27",1,"A_grassland",1,2,"Cerastium_holosteoides",5
"2024-5-27",1,"A_grassland",1,2,"Galium_mollugo",1
"2024-5-27",1,"A_grassland",1,2,"Grasses",50
"2024-5-27",1,"A_grassland",1,2,"Hypochaeris_radicata",15
"2024-5-27",1,"A_grassland",1,2,"Jocabaea_vulgaris",10
"2024-5-27",1,"A_grassland",1,2,"Leucanthemum_vulgare",1
"2024-5-27",1,"A_grassland",1,2,"Lotus_corniculatus",15
"2024-5-27",1,"A_grassland",1,2,"Mosses",70
"2024-5-27",1,"A_grassland",1,2,"Plantago_lanceolata",2
"2024-5-27",1,"A_grassland",1,2,"Rumex_acetosa",10
"2024-5-27",1,"A_grassland",1,2,"Sanguisorba_minor",40
"2024-5-27",1,"A_grassland",1,2,"Taraxacum_sp",2
"2024-5-27",1,"A_grassland",1,2,"Trifolium_dubium",10
"2024-5-27",1,"A_grassland",1,2,"Trifolium_pratense",3
"2024-5-27",1,"A_grassland",1,3,"Acer_pseudoplatanus",3
"2024-5-27",1,"A_grassland",1,3,"Achillea_millefolium",1
"2024-5-27",1,"A_grassland",1,3,"Bellis_perennis",1
"2024-5-27",1,"A_grassland",1,3,"Cerastium_holosteoides",10
"2024-5-27",1,"A_grassland",1,3,"Crepis_biennis",1
"2024-5-27",1,"A_grassland",1,3,"Grasses",15
"2024-5-27",1,"A_grassland",1,3,"Hypochaeris_radicata",7
"2024-5-27",1,"A_grassland",1,3,"Jocabaea_vulgaris",3
"2024-5-27",1,"A_grassland",1,3,"Leucanthemum_vulgare",7
"2024-5-27",1,"A_grassland",1,3,"Lotus_corniculatus",15
"2024-5-27",1,"A_grassland",1,3,"Mosses",90
"2024-5-27",1,"A_grassland",1,3,"Plantago_lanceolata",2
"2024-5-27",1,"A_grassland",1,3,"Prunella_vulgaris",0.5
"2024-5-27",1,"A_grassland",1,3,"Ranunculus_acris",7
"2024-5-27",1,"A_grassland",1,3,"Rhinanthus_angustifolius",0.5
"2024-5-27",1,"A_grassland",1,3,"Rumex_acetosa",10
"2024-5-27",1,"A_grassland",1,3,"Sanguisorba_minor",30
"2024-5-27",1,"A_grassland",1,3,"Taraxacum_sp",20
"2024-5-27",1,"A_grassland",1,4,"Acer_pseudoplatanus",4
"2024-5-27",1,"A_grassland",1,4,"Arenaria_serpyllifolia",25
"2024-5-27",1,"A_grassland",1,4,"Cerastium_holosteoides",7
"2024-5-27",1,"A_grassland",1,4,"Galium_mollugo",0.5
"2024-5-27",1,"A_grassland",1,4,"Grasses",25
"2024-5-27",1,"A_grassland",1,4,"Hypochaeris_radicata",15
"2024-5-27",1,"A_grassland",1,4,"Jocabaea_vulgaris",5
"2024-5-27",1,"A_grassland",1,4,"Lotus_corniculatus",10
"2024-5-27",1,"A_grassland",1,4,"Mosses",80
"2024-5-27",1,"A_grassland",1,4,"Plantago_lanceolata",5
"2024-5-27",1,"A_grassland",1,4,"Rhinanthus_angustifolius",3
"2024-5-27",1,"A_grassland",1,4,"Sanguisorba_minor",25
"2024-5-27",1,"A_grassland",1,4,"Taraxacum_sp",5
"2024-5-27",1,"A_grassland",1,4,"Trifolium_dubium",6
"2024-5-27",1,"A_grassland",1,5,"Acer_pseudoplatanus",2
"2024-5-27",1,"A_grassland",1,5,"Achillea_millefolium",10
"2024-5-27",1,"A_grassland",1,5,"Arenaria_serpyllifolia",10
"2024-5-27",1,"A_grassland",1,5,"Cerastium_holosteoides",7
